,nHubs,costEff
0,2,35.636213426342856
1,3,34.81966634987039
2,4,40.0464881767768
3,5,40.85364263449574
4,6,39.159893897502705
5,7,39.2374114302337
6,8,40.35262017584825
7,9,40.44909742198807
8,10,38.024285924059484
9,11,38.111427110741815
10,12,38.494929982017666
11,13,38.968759401696
12,14,38.131847071815066
13,15,38.169538293410525
14,16,38.64442686362846
15,17,38.09441969414722
16,18,38.253251273538865
17,19,38.0019097493494
18,20,37.96141290582416
19,21,37.01130092998067
20,22,36.950515979424
21,23,37.031177911073904
22,24,37.96198723764673
23,25,37.42486663002308
24,26,38.03841746033879
25,27,37.365714195754514
26,28,36.87607082374366
27,29,36.97400717646615
28,30,37.00242395303395
29,31,37.2401448493409
30,32,37.10728903943225
31,33,37.17093735024721
32,34,37.165274217878085
33,35,37.205690157550194
34,36,37.205690157550194
35,37,37.09054451725991
36,38,36.67494969922085
37,39,36.680495704113284
38,40,36.59044532690093
39,41,36.621565877109695
40,42,37.035819488170276
41,43,36.51092900033889
42,44,36.72945822460954
43,45,36.43432766167485
44,46,36.25737704101651
45,47,36.36548279256369
46,48,36.60235600648877
47,49,36.9520142857445
48,50,36.21911897318543
49,51,36.32626648845505
50,52,36.592360989927585
51,53,36.5366315286048
52,54,36.130365746967904
53,55,36.24738811909265
54,56,36.376820437836614
55,57,36.348508664263925
56,58,36.33813828871405
57,59,36.016004186045826
58,60,36.276490139593875
59,61,36.27982669433264
60,62,36.325368695217406
61,63,36.23486548342658
62,64,36.272266737052384
63,65,36.18117967190223
64,66,36.325368695217406
65,67,36.25074168025911
66,68,36.1659321924377
67,69,36.23345121732652
68,70,36.17447523457224
69,71,36.1369618792061
70,72,36.26027944053838
71,73,36.25720990648722
72,74,36.31637425339339
73,75,36.163987425197
74,76,36.223459502543086
75,77,36.226760658792934
76,78,36.31906910936211
77,79,36.275423138305065
78,80,36.215440619441736
79,81,36.24849918100528
80,82,36.239470918406774
81,83,36.14135199484661
82,84,36.149646333600444
83,85,36.1688509745857
84,86,36.25835515729533
85,87,36.270190579241785
86,88,36.18068636058786
87,89,36.151770586012375
88,90,36.28307108583606
89,91,36.2629349281201
90,92,36.17526403721191
91,93,36.22587088651944
92,94,36.1903007827607
93,95,36.270480607261305
94,96,36.19613301837874
95,97,36.22919382356793
96,98,36.25001888453319
97,99,36.25435823050788
98,100,36.251445575595895
99,101,36.300917539691426
100,102,36.25461267292861
101,103,36.248373724557936
102,104,36.230641440701554
103,105,36.43572172990707
104,106,36.29685478732058
105,107,36.241426956229326
106,108,36.39444424654891
107,109,36.269428321028876
108,110,36.39444424654891
109,111,36.41539499608163
110,112,36.37627690457139
111,113,36.260393262011995
112,114,36.25934697104437
113,115,36.39279061182304
114,116,36.48231774332142
115,117,36.41990651127611
116,118,36.46323207018316
117,119,36.41412220293719
118,120,36.40828381897794
119,121,36.31031803641185
120,122,36.45560894320712
121,123,36.41598931831521
122,124,36.54665319457116
123,125,36.533751121960805
124,126,36.30890395335768
125,127,36.46713701885641
126,128,36.471370505476344
127,129,36.489274687909464
128,130,36.423716574118245
129,131,36.50986747621265
130,132,36.32691690682324
131,133,36.52184224623761
132,134,36.491917758375074
133,135,36.29909094930991
134,136,36.4878460190589
135,137,36.476279443833356
