,nHubs,costEff
0,2,68.58193531651362
1,3,67.35803601736256
2,4,78.19399988732809
3,5,80.0580381471819
4,6,76.8250057559805
5,7,77.0736986670849
6,8,79.40369952369196
7,9,79.52671855975781
8,10,74.78921194220517
9,11,75.01712816206414
10,12,75.77427251487892
11,13,76.75664828562962
12,14,75.05789705390342
13,15,75.16816296222957
14,16,76.15256892642147
15,17,75.14711576614671
16,18,75.51623215002203
17,19,75.00095519328676
18,20,74.96874052865867
19,21,73.12505303862226
20,22,73.01698622825037
21,23,73.19271365167526
22,24,75.06925731727792
23,25,74.00522893815578
24,26,75.20707194363418
25,27,73.91026963401046
26,28,72.96853899178971
27,29,73.1435845923306
28,30,73.20780163657157
29,31,73.7286202900005
30,32,73.47064000877889
31,33,73.58167440411177
32,34,73.59165112640086
33,35,73.70290100677342
34,36,73.70290100677342
35,37,73.44899159932267
36,38,72.61914131289728
37,39,72.61678508005687
38,40,72.48172696610769
39,41,72.5549737816807
40,42,73.38890524714989
41,43,72.35636813303678
42,44,72.75600812450023
43,45,72.19183058556192
44,46,71.84808426106154
45,47,72.05690075615611
46,48,72.54563032222825
47,49,73.24955928657062
48,50,71.77597733100431
49,51,72.00829665502371
50,52,72.5474587749331
51,53,72.44495203500772
52,54,71.62139664256824
53,55,71.87136188735266
54,56,72.09371009810181
55,57,72.06576207550503
56,58,72.0456270144523
57,59,71.42105308256484
58,60,71.94283784766141
59,61,71.95327796587004
60,62,72.04385758206863
61,63,71.86507280973021
62,64,71.9274734800155
63,65,71.75376743060549
64,66,72.04385758206863
65,67,71.89840186633222
66,68,71.72784884806195
67,69,71.86575331186515
68,70,71.7461085445455
69,71,71.68805780333408
70,72,71.91813550960528
71,73,71.91276426596897
72,74,72.04001118112394
73,75,71.72607238489799
74,76,71.84474080673903
75,77,71.85277250730209
76,78,72.0318535530841
77,79,71.95187604777168
78,80,71.84603410332375
79,81,71.89095030500357
80,82,71.88285957747446
81,83,71.69780530943606
82,84,71.70223642622413
83,85,71.74347124840645
84,86,71.92563193751178
85,87,71.94235881364551
86,88,71.78135908943662
87,89,71.71703688181381
88,90,71.97360292323566
89,91,71.94185563777432
90,92,71.774330254757
91,93,71.8679157863045
92,94,71.80137712936023
93,95,71.9702084444596
94,96,71.81759674526509
95,97,71.87190149802856
96,98,71.9205668271682
97,99,71.93419342431757
98,100,71.92614863340545
99,101,72.02835331755793
100,102,71.93086176623719
101,103,71.91561820207183
102,104,71.88384931442718
103,105,72.27815292088633
104,106,72.01591291620959
105,107,71.90788825652594
106,108,72.20847449545711
107,109,71.97081976844063
108,110,72.20847449545711
109,111,72.25172265005267
110,112,72.18291003176033
111,113,71.94466170115459
112,114,71.94436742423956
113,115,72.2046044849406
114,116,72.38592538671493
115,117,72.26899175486906
116,118,72.35622861422148
117,119,72.24878619652388
118,120,72.2354840472523
119,121,72.04973345531401
120,122,72.34366931524957
121,123,72.26492063221646
122,124,72.52848690460912
123,125,72.50313785224411
124,126,72.0534908595338
125,127,72.3616858015709
126,128,72.37439734450265
127,129,72.41567305310437
128,130,72.275930240014
129,131,72.45350108822613
130,132,72.09549826932017
131,133,72.4820050188267
132,134,72.41473940033417
133,135,72.03563180374921
134,136,72.41304975011914
135,137,72.39148687213543
