,nHubs,costEff
0,2,8.181445184533885
1,3,7.704358293626908
2,4,8.256895084650722
3,5,8.183313040590619
4,6,7.772300682104543
5,7,7.707172066191031
6,8,7.810054052645172
7,9,7.884413140513288
8,10,7.386847575604746
9,11,7.356676234639887
10,12,7.428811204633298
11,13,7.478851998417977
12,14,7.36013875340811
13,15,7.337351069394665
14,16,7.38764181130096
15,17,7.217172967480983
16,18,7.200767209802893
17,19,7.169371879401605
18,20,7.121973220128737
19,21,6.9165075061126835
20,22,6.8951241054020205
21,23,6.896564793906106
22,24,7.039262171287422
23,25,6.941231373245842
24,26,7.064538724259304
25,27,6.911917997207874
26,28,6.799014017038624
27,29,6.832692663245783
28,30,6.831275883419249
29,31,6.833081982124569
30,32,6.804496564976728
31,33,6.828656472026738
32,34,6.809960127442446
33,35,6.791347783197501
34,36,6.791347783197501
35,37,6.791838615540952
36,38,6.721456687823827
37,39,6.733587890826967
38,40,6.6810439608952965
39,41,6.677059289967194
40,42,6.741581355687256
41,43,6.639729723090651
42,44,6.707333308033966
43,45,6.636408558435627
44,46,6.598454357645665
45,47,6.622634489570018
46,48,6.649627410039214
47,49,6.704060118389398
48,50,6.588403675003036
49,51,6.591241349647828
50,52,6.629779502422986
51,53,6.61303110660237
52,54,6.554506667300954
53,55,6.560743312209297
54,56,6.612745720948948
55,57,6.584130821562998
56,58,6.581897683932175
57,59,6.511796772279982
58,60,6.5545337162042685
59,61,6.5519506347181355
60,62,6.559961289508064
61,63,6.543026044840227
62,64,6.559594451249798
63,65,6.537356539649514
64,66,6.559961289508064
65,67,6.544358191864856
66,68,6.531001646084159
67,69,6.539866138544331
68,70,6.53144747626118
69,71,6.5110486090994435
70,72,6.545399382982631
71,73,6.544247940252425
72,74,6.546676813617927
73,75,6.528916625446171
74,76,6.539058415713139
75,77,6.538417451701975
76,78,6.558415406260449
77,79,6.545045713749562
78,80,6.5232793828734055
79,81,6.546456577673375
80,82,6.536647035850378
81,83,6.5109742326887385
82,84,6.522487923080713
83,85,6.5233340797350765
84,86,6.535624507114955
85,87,6.543383717238669
86,88,6.513459086547231
87,89,6.514048672844517
88,90,6.540961221336402
89,91,6.530501003408248
90,92,6.509375522591006
91,93,6.524166803365228
92,94,6.514403827261092
93,95,6.5207074095960555
94,96,6.511579912640109
95,97,6.526937428184069
96,98,6.524562265670677
97,99,6.521162235666479
98,100,6.5225263607545925
99,101,6.528054391469343
100,102,6.524405095171464
101,103,6.525669993296361
102,104,6.519634879263538
103,105,6.567029070757698
104,106,6.5309730132464034
105,107,6.519375872648823
106,108,6.549419039125414
107,109,6.518268781519068
108,110,6.549419039125414
109,111,6.551788617772425
110,112,6.537415965247271
111,113,6.523502896059839
112,114,6.521829926715066
113,115,6.549612384225057
114,116,6.562644707160165
115,117,6.545668808281978
116,118,6.552401616817901
117,119,6.551902208281615
118,120,6.552283628749308
119,121,6.527471853993369
120,122,6.548891966505077
121,123,6.541879890064164
122,124,6.561791769539532
123,125,6.5592621800580515
124,126,6.521748198210919
125,127,6.555013033261013
126,128,6.552181472954411
127,129,6.550609383580368
128,130,6.5468718525384375
129,131,6.556839466201413
130,132,6.5197657714091255
131,133,6.555039935746705
132,134,6.5562330567425
133,135,6.51864023727716
134,136,6.550176243175369
135,137,6.546939920248288
