"1",91,129423.629685902,483622.566838713,2,2023-03-17 16:50:25
"2",49,119512.158402586,488152.185635052,2,2023-03-17 16:50:25
"1",136,100415.196497987,479516.579268356,3,2023-03-17 16:50:27
"2",85,136803.453368124,475487.853626372,3,2023-03-17 16:50:27
"3",111,112954.042249338,482993.985453954,3,2023-03-17 16:50:27
"1",26,118529.544418795,490046.008461207,2,2023-03-17 16:55:23
"2",11,139818.229526341,484097.458551472,2,2023-03-17 16:55:23
"1",26,118529.58853375,490042.519036179,3,2023-03-17 16:57:59
"2",91,129423.677439654,483625.628404692,3,2023-03-17 16:57:59
"3",131,98621.0944894661,478714.060836323,3,2023-03-17 16:57:59
"1",28,120117.60700831,490051.279197591,4,2023-03-17 17:01:37
"2",63,115905.135664849,494236.36229314,4,2023-03-17 17:01:37
"3",11,139818.235413493,484095.424401439,4,2023-03-17 17:01:37
"4",136,100415.200518151,479514.201166992,4,2023-03-17 17:01:37
"1",11,139818.241071274,484096.901713793,5,2023-03-17 17:09:00
"2",22,103386.459693239,483070.477519822,5,2023-03-17 17:09:00
"3",87,125020.193462237,483277.399431631,5,2023-03-17 17:09:00
"4",94,115908.713352874,495423.905624067,5,2023-03-17 17:09:00
"5",119,117014.60497005,489441.133278874,5,2023-03-17 17:09:00
"1",11,139818.195695093,484098.56324578,6,2023-03-17 17:16:57
"2",16,123447.028047681,482207.062292782,6,2023-03-17 17:16:57
"3",22,103386.475215704,483070.14494059,6,2023-03-17 17:16:57
"4",74,107022.79384169,478440.252225949,6,2023-03-17 17:16:57
"5",108,116173.765164123,495606.427705502,6,2023-03-17 17:16:57
"6",26,118529.51296101,490044.880059214,6,2023-03-17 17:16:57
"1",36,100729.184138026,497592.611310589,7,2023-03-17 17:25:28
"2",16,123447.040905274,482202.00643096,7,2023-03-17 17:25:28
"3",76,125477.403237694,496827.933176787,7,2023-03-17 17:25:28
"4",108,116173.740976277,495608.351455364,7,2023-03-17 17:25:28
"5",22,103386.513173779,483074.086281009,7,2023-03-17 17:25:28
"6",26,118529.587902077,490043.890222247,7,2023-03-17 17:25:28
"7",11,139818.223591297,484093.386117761,7,2023-03-17 17:25:28
"1",45,113924.727097102,475969.936109038,8,2023-03-17 17:25:32
"2",14,109930.71194188,478753.502555959,8,2023-03-17 17:25:32
"3",42,113935.602193649,486022.401151728,8,2023-03-17 17:25:32
"4",48,120604.046966283,491227.086212662,8,2023-03-17 17:25:32
"5",28,120117.546039719,490052.417649382,8,2023-03-17 17:25:32
"6",28,120117.543903551,490052.278867148,8,2023-03-17 17:25:32
"7",56,138444.351126558,469483.890296895,8,2023-03-17 17:25:32
"8",113,121917.635078073,489521.590455116,8,2023-03-17 17:25:32
"1",8,141360.341193721,486247.851167627,9,2023-03-17 17:25:38
"2",17,102700.341385356,474175.41413428,9,2023-03-17 17:25:38
"3",37,118015.879274144,494595.83645865,9,2023-03-17 17:25:38
"4",136,100415.140817421,479517.537414161,9,2023-03-17 17:25:38
"5",28,120117.591173705,490052.126373018,9,2023-03-17 17:25:38
"6",123,118314.585895313,507058.155635519,9,2023-03-17 17:25:38
"7",107,113741.506965248,471567.17580293,9,2023-03-17 17:25:38
"8",50,119091.967445934,488448.417741217,9,2023-03-17 17:25:38
"9",138,106723.730697781,470974.995802835,9,2023-03-17 17:25:38
"1",131,98621.1013919117,478714.874031751,10,2023-03-17 18:14:50
"2",105,104096.272978491,475468.90310134,10,2023-03-17 18:14:50
"3",87,125020.208598054,483274.798249676,10,2023-03-17 18:14:50
"4",92,131488.511275205,503156.078137246,10,2023-03-17 18:14:50
"5",36,100729.161674121,497592.94364877,10,2023-03-17 18:14:50
"6",11,139818.192019079,484098.180049933,10,2023-03-17 18:14:50
"7",60,118032.741816479,483977.754238745,10,2023-03-17 18:14:50
"8",108,116173.687477454,495612.249887337,10,2023-03-17 18:14:50
"9",26,118529.564490247,490046.096386489,10,2023-03-17 18:14:50
"10",22,103386.490891422,483072.588643364,10,2023-03-17 18:14:50
"1",36,100729.214533061,497590.425635653,11,2023-03-17 18:37:03
"2",15,112619.620446846,485883.1497062,11,2023-03-17 18:37:03
"3",92,131488.459324559,503159.417748139,11,2023-03-17 18:37:03
"4",108,116173.733121733,495608.352658194,11,2023-03-17 18:37:03
"5",22,103386.491504816,483073.999577711,11,2023-03-17 18:37:03
"6",87,125020.17993634,483280.445453103,11,2023-03-17 18:37:03
"7",11,139818.204610269,484095.619238951,11,2023-03-17 18:37:03
"8",27,107658.176656885,477593.912277552,11,2023-03-17 18:37:03
"9",129,98460.9571052145,478078.789691164,11,2023-03-17 18:37:03
"10",61,116364.646541387,474671.418171257,11,2023-03-17 18:37:03
"11",26,118529.598600654,490043.207590323,11,2023-03-17 18:37:03
"1",131,98621.1205109201,478719.838878328,12,2023-03-17 19:44:29
"2",109,126475.168667381,482668.711269049,12,2023-03-17 19:44:29
"3",22,103386.45320632,483069.179848662,12,2023-03-17 19:44:29
"4",26,118529.527995393,490048.300392344,12,2023-03-17 19:44:29
"5",92,131488.526242331,503155.848563557,12,2023-03-17 19:44:29
"6",36,100729.18578394,497592.914651467,12,2023-03-17 19:44:29
"7",11,139818.175384388,484099.721972415,12,2023-03-17 19:44:29
"8",61,116364.656277558,474675.05555505,12,2023-03-17 19:44:29
"9",55,123536.599085909,488605.112239547,12,2023-03-17 19:44:29
"10",105,104096.286713811,475471.443445448,12,2023-03-17 19:44:29
"11",108,116173.778197743,495609.413958432,12,2023-03-17 19:44:29
"12",60,118032.776222541,483974.422240553,12,2023-03-17 19:44:29
